base,ligand,solvent,concentration,temperature,yield
KOAc,BrettPhos,DMAc,0.1,105,5.47
KOAc,PPhtBu2,DMAc,0.1,105,0
KOAc,tBPh-CPhos,DMAc,0.1,105,78.95
KOAc,PCy3 HBF4,DMAc,0.1,105,7.26
KOAc,PPh3,DMAc,0.1,105,28.15
KOAc,X-Phos,DMAc,0.1,105,65.37
KOPiv,BrettPhos,DMAc,0.1,105,0.07
KOPiv,PPhtBu2,DMAc,0.1,105,0
KOPiv,tBPh-CPhos,DMAc,0.1,105,28.64
KOPiv,PCy3 HBF4,DMAc,0.1,105,10.44
KOPiv,PPh3,DMAc,0.1,105,63.13
KOPiv,X-Phos,DMAc,0.1,105,77.41
CsOAc,BrettPhos,DMAc,0.1,105,4.74
CsOAc,PPhtBu2,DMAc,0.1,105,0
CsOAc,tBPh-CPhos,DMAc,0.1,105,29.31
CsOAc,PCy3 HBF4,DMAc,0.1,105,12.83
CsOAc,PPh3,DMAc,0.1,105,62.82
CsOAc,X-Phos,DMAc,0.1,105,87.83
CsOPiv,BrettPhos,DMAc,0.1,105,0
CsOPiv,PPhtBu2,DMAc,0.1,105,0
CsOPiv,tBPh-CPhos,DMAc,0.1,105,7.62
CsOPiv,PCy3 HBF4,DMAc,0.1,105,8.85
CsOPiv,PPh3,DMAc,0.1,105,52.05
CsOPiv,X-Phos,DMAc,0.1,105,29.16
KOAc,BrettPhos,BuCN,0.1,105,18.44
KOAc,PPhtBu2,BuCN,0.1,105,0
KOAc,tBPh-CPhos,BuCN,0.1,105,6.17
KOAc,PCy3 HBF4,BuCN,0.1,105,0
KOAc,PPh3,BuCN,0.1,105,6.24
KOAc,X-Phos,BuCN,0.1,105,47.3
KOPiv,BrettPhos,BuCN,0.1,105,56.05
KOPiv,PPhtBu2,BuCN,0.1,105,0
KOPiv,tBPh-CPhos,BuCN,0.1,105,6.39
KOPiv,PCy3 HBF4,BuCN,0.1,105,0.35
KOPiv,PPh3,BuCN,0.1,105,4.28
KOPiv,X-Phos,BuCN,0.1,105,56.14
CsOAc,BrettPhos,BuCN,0.1,105,64.48
CsOAc,PPhtBu2,BuCN,0.1,105,0
CsOAc,tBPh-CPhos,BuCN,0.1,105,5.88
CsOAc,PCy3 HBF4,BuCN,0.1,105,0.57
CsOAc,PPh3,BuCN,0.1,105,3.21
CsOAc,X-Phos,BuCN,0.1,105,83.83
CsOPiv,BrettPhos,BuCN,0.1,105,55.41
CsOPiv,PPhtBu2,BuCN,0.1,105,0
CsOPiv,tBPh-CPhos,BuCN,0.1,105,5.41
CsOPiv,PCy3 HBF4,BuCN,0.1,105,0.33
CsOPiv,PPh3,BuCN,0.1,105,3.44
CsOPiv,X-Phos,BuCN,0.1,105,68.53
KOAc,BrettPhos,BuOAc,0.1,105,17.09
KOAc,PPhtBu2,BuOAc,0.1,105,0
KOAc,tBPh-CPhos,BuOAc,0.1,105,0
KOAc,PCy3 HBF4,BuOAc,0.1,105,0
KOAc,PPh3,BuOAc,0.1,105,3.41
KOAc,X-Phos,BuOAc,0.1,105,64.62
KOPiv,BrettPhos,BuOAc,0.1,105,49.22
KOPiv,PPhtBu2,BuOAc,0.1,105,0
KOPiv,tBPh-CPhos,BuOAc,0.1,105,22.75
KOPiv,PCy3 HBF4,BuOAc,0.1,105,0
KOPiv,PPh3,BuOAc,0.1,105,1.92
KOPiv,X-Phos,BuOAc,0.1,105,48.25
CsOAc,BrettPhos,BuOAc,0.1,105,26.64
CsOAc,PPhtBu2,BuOAc,0.1,105,0
CsOAc,tBPh-CPhos,BuOAc,0.1,105,0
CsOAc,PCy3 HBF4,BuOAc,0.1,105,0
CsOAc,PPh3,BuOAc,0.1,105,4.22
CsOAc,X-Phos,BuOAc,0.1,105,86.43
CsOPiv,BrettPhos,BuOAc,0.1,105,27.48
CsOPiv,PPhtBu2,BuOAc,0.1,105,0
CsOPiv,tBPh-CPhos,BuOAc,0.1,105,15.16
CsOPiv,PCy3 HBF4,BuOAc,0.1,105,0
CsOPiv,PPh3,BuOAc,0.1,105,0.91
CsOPiv,X-Phos,BuOAc,0.1,105,59.92
KOAc,BrettPhos,p-Xylene,0.1,105,16.44
KOAc,PPhtBu2,p-Xylene,0.1,105,0
KOAc,tBPh-CPhos,p-Xylene,0.1,105,6.39
KOAc,PCy3 HBF4,p-Xylene,0.1,105,0
KOAc,PPh3,p-Xylene,0.1,105,2.06
KOAc,X-Phos,p-Xylene,0.1,105,43.76
KOPiv,BrettPhos,p-Xylene,0.1,105,29.17
KOPiv,PPhtBu2,p-Xylene,0.1,105,0
KOPiv,tBPh-CPhos,p-Xylene,0.1,105,14.92
KOPiv,PCy3 HBF4,p-Xylene,0.1,105,0
KOPiv,PPh3,p-Xylene,0.1,105,1.41
KOPiv,X-Phos,p-Xylene,0.1,105,35.07
CsOAc,BrettPhos,p-Xylene,0.1,105,40.03
CsOAc,PPhtBu2,p-Xylene,0.1,105,0
CsOAc,tBPh-CPhos,p-Xylene,0.1,105,19.51
CsOAc,PCy3 HBF4,p-Xylene,0.1,105,0.55
CsOAc,PPh3,p-Xylene,0.1,105,10.5
CsOAc,X-Phos,p-Xylene,0.1,105,67.17
CsOPiv,BrettPhos,p-Xylene,0.1,105,21.54
CsOPiv,PPhtBu2,p-Xylene,0.1,105,0
CsOPiv,tBPh-CPhos,p-Xylene,0.1,105,28.65
CsOPiv,PCy3 HBF4,p-Xylene,0.1,105,0
CsOPiv,PPh3,p-Xylene,0.1,105,0.66
CsOPiv,X-Phos,p-Xylene,0.1,105,53.63
KOAc,BrettPhos,DMAc,0.1,90,5.22
KOAc,PPhtBu2,DMAc,0.1,90,0
KOAc,tBPh-CPhos,DMAc,0.1,90,47.03
KOAc,PCy3 HBF4,DMAc,0.1,90,1.71
KOAc,PPh3,DMAc,0.1,90,14.29
KOAc,X-Phos,DMAc,0.1,90,38.03
KOPiv,BrettPhos,DMAc,0.1,90,0
