,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,5.47,0.07,4.74,17.09,18.44,5.62,0.89,21.88,5.26,19.99,23.51,46.42,5.4,4.39,13.79,12.61,33.69,38.65,31.14,52.47,76.24,98.38,80.86,13.12,26.69,84.67,77.01,96.64,99.81,99.22,84.48,80.39,89.95,95.48,92.19,88.41,0.51,78.19,48.34,70.8,55.4,30.44,58.4,15.64,14.26,81.66,84.49,83.22,100.0,74.3,83.25,81.63,87.0,98.49,100.0,89.76,91.11,87.59,24.55,84.03,7.02,0.0,48.91,83.85,61.09,88.41,62.07,89.71,78.6,92.03,45.85,91.27,53.49,78.6,91.06,86.46,84.81,63.61,84.64,83.62,60.48,65.32,67.21,50.7,78.93,77.58,82.28,64.12,90.39,99.98,31.53,50.74,96.38,80.65,71.81,87.32,0.0,69.2,53.52,80.69
1,2.41,0.12,0.0,39.86,0.26,4.89,26.3,29.23,11.65,43.22,51.32,14.68,50.74,13.02,71.81,3.33,6.1,75.46,80.86,80.65,83.22,67.57,76.66,77.52,50.75,96.64,92.03,98.38,99.81,52.47,87.59,89.95,98.49,99.22,92.19,84.49,81.63,95.48,61.09,100.0,48.86,80.39,78.44,83.25,100.0,38.48,59.05,89.76,91.11,87.0,73.33,78.6,71.43,77.01,70.8,0.0,62.15,83.85,91.06,39.57,84.67,76.24,90.39,13.33,44.47,44.48,6.23,67.21,0.0,53.02,61.67,52.08,2.33,40.26,13.12,32.21,9.61,0.0,45.37,26.48,78.6,24.55,43.84,53.11,6.48,0.0,88.41,50.7,69.2,30.17,43.22,69.03,91.39,64.46,91.19,78.19,43.9,59.82,80.69,62.33
2,5.47,75.22,41.9,8.23,28.15,7.12,20.5,81.48,6.48,13.34,66.84,89.14,95.48,11.72,11.77,91.39,96.64,89.95,92.03,99.22,87.0,100.0,98.38,20.72,99.98,53.52,80.86,80.65,62.33,91.19,84.49,91.06,50.74,84.03,98.49,77.58,77.01,81.63,99.81,92.19,80.39,8.82,61.67,89.76,100.0,38.48,0.51,83.22,85.21,40.26,38.79,84.67,43.84,44.22,44.47,73.33,91.11,87.59,22.07,43.12,24.8,78.6,48.91,96.38,60.29,84.62,78.44,83.85,67.21,50.75,72.89,75.4,84.48,76.63,83.25,0.0,82.28,81.66,73.93,0.0,27.79,48.86,79.76,5.53,80.69,88.41,71.43,6.23,90.39,50.69,69.26,32.68,13.02,26.69,19.13,36.65,26.12,14.24,69.2,68.17
3,0.0,7.26,80.38,75.22,28.15,1.79,89.95,76.66,13.02,20.51,83.62,95.48,77.52,33.69,99.81,0.89,10.13,43.84,92.19,30.17,80.39,96.64,9.88,98.38,99.22,45.01,84.49,71.43,2.64,99.98,77.58,40.06,96.38,0.0,71.81,72.21,6.23,81.48,50.74,98.49,83.22,81.63,69.2,80.86,80.65,87.59,83.85,40.47,90.39,100.0,89.76,83.25,91.11,89.14,100.0,78.6,22.07,87.0,50.75,85.21,91.06,62.04,50.7,21.88,40.26,84.62,84.67,15.64,8.82,53.52,61.0,0.0,84.48,75.39,39.57,88.41,48.86,54.07,91.39,5.4,48.34,77.01,64.12,92.03,8.2,84.81,19.77,62.07,12.98,78.93,8.24,2.58,73.33,67.85,91.19,70.8,80.69,60.29,44.47,19.13
4,5.47,65.37,13.11,75.22,41.9,62.15,40.47,3.67,24.05,13.34,45.85,45.62,0.0,48.34,7.5,62.07,1.58,45.01,89.95,85.21,96.64,92.03,26.39,61.09,99.81,24.11,98.38,43.12,99.22,92.19,4.3,81.63,95.48,87.0,0.0,0.0,83.22,87.59,52.47,31.43,21.74,83.85,100.0,100.0,99.98,50.74,96.38,80.86,80.65,71.81,65.32,89.14,43.84,63.2,91.19,91.11,67.21,91.39,98.49,80.69,89.76,75.12,91.06,81.48,69.2,89.17,77.58,83.25,50.7,63.88,79.33,30.21,66.84,88.41,22.07,31.18,84.49,21.88,22.88,30.17,84.48,1.12,50.75,39.57,60.29,84.67,58.4,70.8,90.39,62.33,84.81,44.96,14.24,31.66,74.3,31.85,78.19,19.64,78.6,78.93
5,0.0,55.41,27.48,21.54,29.16,0.0,77.52,49.09,23.81,24.05,76.66,50.74,75.46,33.69,52.23,27.8,5.24,17.45,11.18,0.0,17.0,21.88,30.77,80.86,80.65,13.31,61.09,23.1,71.81,60.29,60.68,70.51,37.37,43.84,22.65,0.0,38.79,67.57,98.38,44.47,51.83,83.22,96.64,99.81,92.19,87.59,89.95,92.03,61.33,99.22,11.91,0.51,81.63,83.85,95.48,6.67,10.05,5.22,30.03,4.87,8.5,75.4,31.55,84.67,7.59,30.83,80.39,84.49,61.67,52.08,77.58,48.34,87.0,98.49,43.12,48.86,68.31,89.76,90.39,100.0,46.57,83.25,91.39,100.0,2.64,79.76,91.11,67.21,91.06,78.93,84.62,79.1,78.44,59.05,0.97,0.0,75.39,76.63,77.01,29.23
6,0.0,0.0,9.96,13.88,58.4,2.35,2.59,38.79,2.53,78.19,36.96,89.71,51.83,74.3,2.33,18.38,83.62,95.48,25.45,52.08,91.39,96.64,89.95,92.03,99.22,82.13,61.09,87.0,98.38,99.98,67.85,80.86,80.65,62.33,91.19,7.12,50.74,8.9,39.57,71.81,81.63,96.38,80.69,99.81,92.19,83.22,87.59,63.2,100.0,44.47,91.27,62.07,83.25,98.49,100.0,91.11,90.39,91.06,78.6,50.75,84.49,77.01,89.76,67.21,50.7,88.41,0.0,84.48,84.67,70.8,55.4,48.34,71.43,6.23,83.85,79.1,78.6,36.29,31.58,78.93,63.61,89.14,2.15,53.52,23.3,72.21,6.22,22.07,43.84,19.95,78.44,61.67,9.14,64.46,85.21,89.17,82.28,1.89,68.31,31.43
7,0.0,65.37,80.38,7.26,28.15,62.75,17.45,3.77,52.47,19.13,61.71,80.39,96.64,28.9,99.22,88.41,27.8,89.95,95.48,92.03,1.68,38.48,78.6,100.0,98.38,91.06,64.46,98.49,100.0,53.61,84.48,32.21,2.33,68.17,92.19,60.68,6.23,83.25,52.08,2.79,89.76,83.22,81.63,13.72,99.81,31.55,91.11,87.59,90.39,31.53,8.95,84.67,79.1,83.85,52.56,78.19,84.49,58.4,4.33,83.62,82.28,91.39,84.03,43.12,17.56,28.53,27.79,0.97,18.93,13.79,18.72,6.22,0.0,78.93,11.99,89.17,77.58,3.33,10.59,99.98,88.82,96.38,80.86,80.65,71.81,19.64,82.33,50.74,69.2,53.52,79.33,61.0,91.27,62.07,50.69,63.61,89.71,50.7,30.03,43.84
8,0.0,13.11,75.22,78.95,41.9,4.85,5.65,23.51,3.67,13.34,45.85,5.75,37.38,85.21,98.38,30.41,31.14,99.81,99.22,80.86,76.59,82.13,89.95,95.48,92.19,80.39,83.22,81.48,21.88,80.65,55.96,24.11,84.49,5.65,99.98,48.34,77.01,50.74,100.0,71.81,81.63,91.06,84.03,100.0,62.33,77.58,92.03,98.49,96.38,2.33,84.67,61.67,91.11,87.59,13.02,86.14,6.23,83.85,39.57,30.17,89.17,88.89,62.07,32.5,89.14,87.83,79.33,66.84,72.21,87.0,1.68,54.52,19.64,5.9,43.84,60.68,48.86,84.48,89.76,69.2,44.96,23.71,88.41,8.52,91.19,14.24,71.43,50.7,80.69,44.47,38.79,78.44,7.12,31.66,78.93,58.4,83.25,50.75,74.3,21.09
9,2.85,9.87,41.9,32.04,39.39,44.96,18.38,89.14,3.33,83.62,40.47,82.13,11.26,5.4,6.48,55.96,89.95,81.48,85.21,5.65,90.39,95.48,21.88,31.53,77.52,91.27,96.64,92.03,100.0,99.22,29.51,62.07,28.9,84.03,71.81,89.71,91.39,91.06,100.0,91.19,51.83,58.4,19.28,98.38,62.33,63.61,11.19,7.43,99.98,60.29,28.06,50.7,50.74,96.38,92.19,81.63,98.49,69.2,99.81,80.65,2.82,91.11,83.22,87.59,80.86,48.34,71.43,89.76,83.25,63.2,33.95,79.1,78.44,70.8,83.85,84.49,9.61,77.01,59.05,78.6,84.48,84.67,78.6,80.69,78.93,57.27,55.4,88.41,27.79,76.24,5.29,7.02,0.0,87.62,44.47,45.85,84.64,76.59,75.12,63.88
